source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
502,D0033399,"The impact of extreme heat on morbidity in Milwaukee, Wisconsin",2012,Climatic Change,temperature,FULLTEXT_REVIEW,"Meteorological and hospital data were modeled over 1989-2005, and self-harm admissions were heat-sensitive, but the abstract gives no self-harm-specific estimate with uncertainty.",META_ELIGIBLE,"Time-series GAM of daily hospital admissions 1989-2005 with objective meteorological temperature; self-harm admissions explicitly among causes affected and percent increase per degree above threshold was quantified, so an adjusted mental-health effect is extractable.",FULLTEXT_REVIEW
503,D0034270,Has the suicide rate risen with the 2011 Queensland floods?,2013,Journal of Loss and Trauma,flood,FULLTEXT_REVIEW,"Suicides in two flood-affected locations were compared for six post-flood months against 11 prior years, but no quantitative flood effect or uncertainty is reported.",FULLTEXT_REVIEW,"Abstract compares post-flood suicide rates to an 11-year pre-flood baseline in two affected areas, supporting a human quantitative flood-suicide study, but reports only 'no significant increase' without numeric rates, effect size, or uncertainty; full text needed to extract a quantitative estimate.",FULLTEXT_REVIEW
504,D0034422,"Associations between air temperature and daily suicide counts in Astana, Kazakhstan",2013,Medicina Lithuania,temperature,META_ELIGIBLE,Daily suicide counts were modeled against apparent temperature with temporal and weather controls; adjusted percent changes and 95% CIs are reported.,META_ELIGIBLE,"Daily suicide counts and air temperature over 2005-2010 analyzed with negative binomial time-series regression; adjusted apparent temperature effects reported as % change with 95% CI, satisfying causal meta-analysis criteria.",PRIORITY_FULLTEXT
505,D0034457,Incremento de la temperatura ambiental y su posible asociación al suicidio en Baja California Sur (BCS) 1985-2008,2013,Salud Mental,temperature,FULLTEXT_REVIEW,"Official suicide mortality and weather records were analyzed over 24 years, but the abstract reports correlations and model fit rather than an extractable temperature effect with uncertainty.",FULLTEXT_REVIEW,"Objective maximum temperature is linked to suicide rates over 1985-2008 using GLMs, an eligible time-series design and outcome. However, the abstract reports only correlation p-values and model fit, without adjusted hazard coefficients or confidence intervals; effect extractability remains unclear.",FULLTEXT_REVIEW
506,D0035528,The impact of recent heat waves on human health in California,2014,Journal of Applied Meteorology and Climatology,temperature,FULLTEXT_REVIEW,"Daily maximum temperatures and hospitalizations identified heat-wave morbidity, including mental health, but no mental-health-specific effect and uncertainty are supplied.",FULLTEXT_REVIEW,"Abstract supports objective daily temperature exposure, time-series hospital morbidity, and mental health as a significant disease category, but reports only overall 7% admission increase with no mental-health-specific effect size or uncertainty.",FULLTEXT_REVIEW
507,D0036911,"Spatial correlation analysis of elderly suicides and Urban Heat Island Effects: An ecological study in Taipei, 2000-2008",2016,Taiwan Journal of Public Health,temperature,FULLTEXT_REVIEW,"Township heat-island intensity was interpolated from observed temperatures and associated with suicide, but the abstract does not establish that the GAMM used within-township temporal variation rather than spatial correlation.",FULLTEXT_REVIEW,"Abstract reports an adjusted RR for UHIE and elderly suicides using GAMM, but does not clearly establish within-unit temporal exposure variation or a credible counterfactual. The spatial/temporal ecological model may be non-causal, so full text is needed to confirm design.",FULLTEXT_REVIEW
508,D0037187,Does hurricane risk affect individual well-being? Empirical evidence on the indirect effects of natural disasters,2016,Ecological Economics,cyclone,FULLTEXT_REVIEW,"Multiple survey waves were linked to storm data, but the abstract does not say whether respondents or geographic units provide within-unit temporal variation or report extractable effects.",FULLTEXT_REVIEW,"Abstract combines several survey waves and storm data but does not specify whether hurricane risk varies within countries over time, whether fixed effects or other controls form a credible counterfactual, or whether hazard-specific estimates with uncertainty are reported.",FULLTEXT_REVIEW
509,D0037332,"Well-being, life satisfaction and capabilities of flood disaster victims",2016,Environmental Impact Assessment Review,flood,NARRATIVE_ONLY,"A one-time sample of self-identified flood victims was compared with a representative sample, with no pre-event outcome or temporal counterfactual.",NARRATIVE_ONLY,Compares flood victims with a representative sample cross-sectionally; life satisfaction is eligible but exposure is past or expected future flooding with no pre-event baseline or temporal counterfactual.,DO_NOT_ADVANCE_MAIN_META
510,D0037663,Measuring impacts of extreme weather events using the life satisfaction approach,2016,Ecological Economics,flood,FULLTEXT_REVIEW,"Representative panel data were linked to five floods in affected regions and post-event life-satisfaction reductions are quantified, but uncertainty is not reported in the abstract.",FULLTEXT_REVIEW,"Objective NUTS3 flood events and life satisfaction outcome are eligible, but abstract gives pooled storm/hail+flood effect without flood-specific magnitude/uncertainty and does not explicitly confirm pre-event panel fixed-effects counterfactual.",FULLTEXT_REVIEW
511,D0037729,The social cost of the Black Saturday bushfires,2017,Australian Journal of Social Issues,wildfire,FULLTEXT_REVIEW,"The Black Saturday fires are linked to lower life satisfaction and a monetary valuation, but the abstract does not describe exposure data, sampling waves, or the counterfactual design.",FULLTEXT_REVIEW,"Abstract describes a quantitative study of Black Saturday bushfires on life satisfaction with a WTP estimate, but does not specify exposure measurement, design, counterfactual, or uncertainty. Full text needed to verify objective exposure, pre-event baseline, and extractable adjusted effect.",FULLTEXT_REVIEW
512,D0038831,"Forest fire danger, life satisfaction and feelings of safety: Evidence from Australia",2017,International Journal of Wildland Fire,wildfire,FULLTEXT_REVIEW,"Survey data were linked to the McArthur Fire Danger Index, but the abstract does not state whether the life-satisfaction model exploits within-person or within-place temporal changes.",FULLTEXT_REVIEW,"Objective FFDI exposure and life satisfaction outcome are eligible, but abstract only reports associations and does not specify whether HILDA panel is used with within-person temporal variation/fixed effects or another causal counterfactual, nor report adjusted coefficients with uncertainty.",FULLTEXT_REVIEW
513,D0039154,THE IMPACT OF PERCEIVED BACKGROUND RISK ON BEHAVIORAL HEALTH: EVIDENCE FROM HURRICANE KATRINA,2018,Economic Inquiry,cyclone|flood,FULLTEXT_REVIEW,"Katrina effects were estimated before and after the event in a storm-surge-risk region against hurricane-impervious areas, but the 18.8% mental-health effect lacks reported uncertainty.",FULLTEXT_REVIEW,"Abstract uses Hurricane Katrina as a natural experiment, comparing mental health days in nondamaged storm-surge areas before/after versus hurricane-impervious areas. Outcomes and design appear eligible, but no uncertainty/CI for the 18.8% effect is reported, so full text must confirm extractable adjusted estimates with standard errors.",FULLTEXT_REVIEW
514,D0039823,Before and after a natural disaster: Disruption in emotion component of place-identity and wellbeing,2018,Journal of Environmental Psychology,wildfire,NARRATIVE_ONLY,"The analysis describes how the place-identity/wellbeing relationship changed after the fire, not a quantitative wildfire effect on wellbeing.",FULLTEXT_REVIEW,"Original quantitative before/after wildfire study with wellbeing outcome and objective fire exposure. Abstract reports only change in place-identity-wellbeing association, not a direct hazard effect on wellbeing with uncertainty; full text must establish extractable effect.",ADJUDICATE_PRIORITY
515,D0039867,Three-year longitudinal study of perceptions of competence and well-being among youth exposed to disasters,2018,Applied Developmental Science,cyclone,NARRATIVE_ONLY,"Youth were followed only after disaster exposure, and hurricane experiences and oil-spill stress were self-reported; the analysis concerns post-event trajectories and predictors.",NARRATIVE_ONLY,"Longitudinal study of disaster exposure and youth competence/well-being; abstract reports growth trajectories, age effects, oil spill stress interaction, and PTSD association, but no hurricane-specific effect estimate with uncertainty or credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
